"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"28876","subspecies","Trifolium pratense frigidum","Simonk.","","","","13","Trifolium pratense subsp. nivale"
"28875","species","Trifolium mutabile","Port.","","","","13",""
"28874","species","Trifolium lucanicum","Guss.","","","","13",""
"28873","subspecies","Trifolium hybridum elegans","(Savi) Asch. & Graebn.","","","","13",""
"28872","subspecies","Trifolium fragiferum bonannii","(C.Presl) Soják","","","","13",""
"28871","species","Trifolium cinctum","DC.","",";;;Opasana djetelina;;","","13","Trifolium maritimum subsp. cinctum"
"28870","species","Trifolium bocconei","Savi","","","","13",""
"28869","subspecies","Trifolium pratense pratense","","","","","13",""
"28868","subspecies","Trifolium alpestre durmitoreum","Rohlena","","","","13",""
"28867","subspecies","Trifolium alpestre alpestre","","","","","13","Trifolium alpestre var. lanigerum"
"28866","subspecies","Oxytropis dinarica weberi","Chrtek & Chrtková","","","","13",""
"28865","subspecies","Oxytropis dinarica dinarica","","","","","13",""
"28864","subspecies","Onobrychis alba laconica","(Boiss.) Hayek","","","","13",""
"28863","species","Onobrychis aequidentata","(Sm.) d'Urv.","","","","13",""
"28862","subspecies","Onobrychis montana scardica","(Griseb.) P.W.Ball","","","","13",""
"28861","subspecies","Medicago sativa sativa","","","","","13",""
"28860","species","Lotus alpinus","(DC.) Ramond","","","","13","Lotus corniculatus var. alpinus"
"28859","subspecies","Anacamptis morio picta","(Loisel.) Jacquet & Scappat.","","","","13","Orchis morio subsp. picta;Orchis morio var. picta"
"28858","subspecies","Dactylorhiza cordigera bosniaca","(Beck) Soó","","","","13","Orchis cordigera subsp. bosniaca"
"28857","subspecies","Allium schoenoprasum schoenoprasum","","","","","13","Allium schoenoprasum subsp. sibiricum"
"28856","subspecies","Allium carinatum pulchellum","(G.Don) Bonnier & Layens","",";;;Lijepi luk;;","","13","Allium pulchellum;Allium cirrhosum"
"28855","subspecies","Stachys recta subcrenata","(Vis.) Briq.","","","","13",""
"28854","subspecies","Stachys alpina dinarica","Murb.","","","","13",""
"28853","subspecies","Lamium garganicum garganicum","","","","","13","Lamium scardicum"
"28852","subspecies","Clinopodium menthifolium menthifolium","","","","","13","Calamintha sylvatica"
"28851","species","Luzula sudetica","(Willd.) Schult.","","","","13",""
"28850","species","Luzula pallescens","Sw.","","","","13",""
"28849","subspecies","Sesleria caerulea angustifolia","(Hack. & Beck) Jogan","","","","13","Sesleria albicans subsp. angustifolia"
"28848","species","Sesleria nitida","Ten.","","","","13",""
"28847","species","Poa minor","Gaudin","",";Мала ливадарка;;Mala vlasnjača;;","","13",""
"28846","subspecies","Festuca rubra juncea","(Hack.) K.Richt.","","","","13",""
"28845","species","Festuca alpina","Suter","",";Горска власуља;;Planinska vlasulja;;","","13",""
"28844","species","Deschampsia media","(Gouan) Roem. & Schult.","","","","13",""
"28843","species","Agrostis alpina","Scop.","",";Горска росуља;;Planinska rosulja;Alpska rosulja;","","13",""
"28842","subspecies","Scabiosa cinerea cinerea","","","","","13","Scabiosa leucophylla"
"28841","species","Draba praecox","Steven","","","","13","Erophila verna subsp. praecox"
"28840","species","Alyssum trichostachyum","Rupr.","","","","13","Alyssum repens subsp. trichostachyum"
"28839","subspecies","Hieracium tommasinianum setosissimum","(Nägeli & Peter) Gottschl.","","","","13","Hieracium tommasinii subsp. setosissimum"
"28838","subspecies","Hieracium tommasinianum castelli-novi","(K. Malý & Zahn) Gottschl.","","","","13",""
"28837","species","Hieracium tommasinianum","K.Malý","","","","13","Hieracium tommasinii"
"28836","subspecies","Cirsium ligulare albanum","Wettst.","","","","13","Cirsium ligulare subsp. montenegrinum"
"28835","species","Cota segetalis","(Ten.) Holub","","","","13",""
"28834","subspecies","Achillea distans stricta","(Gremli) Janch.","","","","13","Achillea tanacetifolia subsp. stricta"
"28833","subspecies","Helianthemum nummularium glabrum","(W.D.J.Koch) Wilczek","","","","13",""
"28832","subspecies","Helianthemum nummularium grandiflorum","(Scop.) Schinz & Thell.","","","","13","Helianthemum grandiflorum"
"28831","subspecies","Heliosperma pusillum albanicum","(K. Malý) Niketić & Stevan.","","","","13","Silene pusilla subsp. albanica"
"28830","subspecies","Silene acaulis bryoides","(Jord.) Nyman","","","","13",""
"28829","subspecies","Symphytum tuberosum angustifolium","(A.Kern.) Nyman","","","","13","Symphytum nodosum"
"28828","species","Ranunculus hayekii","Dörfl.","","","","13",""
"28827","subspecies","Klasea radiata cetinjensis","(Rohlena) Greuter & Wagenitz","","","","13",""
