"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"18650","subspecies","Pyrus communis communis","","","","","38","Pyrus domestica"
"18649","subspecies","Raphanus raphanistrum landra","(Moretti ex DC.) Bonnier & Layens","","","","38",""
"18648","subspecies","Rhinanthus angustifolius bosniacus","(Behrendsen & Sterneck) Webb","","","","38","Alectorolophus bosniacus"
"18647","subspecies","Rhinanthus angustifolius grandiflorus","(Wallr.) D.A.Webb","","","","38","Rhinanthus serotinus subsp. grandiflorus;Rhinanthus angustifolius subsp. vernalis;Rhinanthus angustifolius subsp. aestivalis"
"18646","subspecies","Rhinanthus glacialis aristatus","(Čelak.) Rauschert","",";;;Uskolisni škrobotac, uskolisni šuškavac;;","","38","Rhinanthus aristatus"
"18645","subspecies","Rumex acetosella multifidus","(L.) Schübl. & G.Martens","","","","38",""
"18644","subspecies","Rhinanthus mediterraneus mediterraneus","","","","","38",""
"18643","subspecies","Rumex acetosa acetosa","","","","","38",""
"18642","subspecies","Rumex obtusifolius obtusifolius","","","","","38",""
"18641","subspecies","Salvia pratensis bertolonii","(Vis.) Soó","","","","38","Salvia bertolonii"
"18640","subspecies","Salvia officinalis officinalis","","","","","38","Salvia cretica"
"18639","subspecies","Rumex crispus crispus","","","","","38",""
"18638","subspecies","Satureja subspicata subspicata","","","","","38","Satureja illyrica;Satureja pygmaea"
"18637","subspecies","Scleranthus perennis dichotomus","(Schur) Nyman","","","","38",""
"18636","subspecies","Schoenoplectus lacustris glaucus","(Sm.) Bech.","","","","38",""
"18635","subspecies","Lepidium sativum","L.","","","","38",""
"18634","subspecies","Trisetum flavescens flavescens","","","","","38",""
"18633","subspecies","Saxifraga oppositifolia rudolphiana","(Hornsch.) Nyman","","","","38",""
"18632","subspecies","Scleranthus annuus annuus","","","","","38",""
"18631","subspecies","Scorzonera hispanica asphodeloides","(Wallr.) Arcang.","","","","38","Pseudopodospermum hispanicum subsp. asphodeloides"
"18630","subspecies","Sedum acre acre","","","","","38",""
"18629","subspecies","Schoenoplectus lacustris lacustris","","","","","38",""
"18628","subspecies","Silene otites otites","","","","","38",""
"18627","subspecies","Torilis arvensis neglecta","(Spreng.) Thell.","","","","38",""
"18626","subspecies","Trinia glauca carniolica","(Janch.) H.Wolff","","","","38",""
"18625","subspecies","Lepidium draba draba","","","","","38",""
"18624","species","Doronicum grandiflorum","Lam.","","","","38",""
"18623","species","Doronicum pardalianches","L.","","","","38",""
"18622","species","Petasites japonicus","(Siebold & Zucc.) Maxim.","",";;;;Lopuh japanski;","","38",""
"18621","subspecies","Adenostyles alliariae alliariae","","","","","38",""
"18620","subspecies","Senecio hercynicus durmitorensis","Herborg","","","","38",""
"18619","subspecies","Senecio ovatus ovatus","","","","","38",""
"18618","subspecies","Senecio scopolii scopolii","","","","","38",""
"18617","subspecies","Aethionema saxatile scopulorum","(Ronniger) I. A. Anderson, A. Carlström, Franzén, Karlen et H. Nybom","","","","38",""
"18616","subspecies","Aethionema saxatile saxatile","","","","","38","Aethionema saxatile subsp. eu-saxatile"
"18615","species","Phleum nodosum","L.","","","","38","Phleum pratense subsp. bertolonii"
"18614","species","Phleum echinatum","Host","","","","38",""
"18613","species","Sixalix atropurpurea","(L.) Greuter & Burdet","","","","38","Scabiosa atropurpurea"
"18612","genus","Sixalix","","","","","38",""
"18611","speciescomplex","Malus dasyphylla","Borkh.","","Paradise Apple;Патуљаста јабука;Hibridna divlja jabuka;Debelolisna jabuka;;","","38","Malus communis subsp. dasyphylla"
"18610","genus","Dichondra","J. R. Forst. & G. Forst.","","","","38",""
"18609","species","Festuca horvatiana","Markgr.-Dann.","","","","38",""
"18608","species","Festuca heteromalla","Pourr.","","","","38",""
"18607","species","Festuca korabensis","(Markgr.-Dann.) Markgr.-Dann.","","","","38",""
"18606","species","Festuca glauca","Vill.","","","","38",""
"18605","species","Festuca pallens","Host","",";Бледа власуља;;;;","","38","Festuca glauca subsp. pallens"
"18604","species","Festuca riloensis","(Hayek) Markgr.-Dann.","","","","38",""
"18603","species","Festuca trichophylla","(Gaudin) K.Richt.","",";;;Vlaknata vlasulja;;","","38",""
"18602","species","Festuca stenantha","(Hack.) K.Richt.","",";;;Uskoklasasta vlasulja;;","","38",""
