"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"531","species","Cordulegaster heros","Theischinger, 1979","","Balkan Goldenring;велики коњиц даждевњак;veliki konjic daždevnjak;gorski potočar;;","1;2;3;5","10",""
"530","genus","Cordulegaster","","","","1;2;3;5","10",""
"529","family","Cordulegastridae","","","","1;2;3;5","10",""
"528","species","Onychogomphus forcipatus","(Linnaeus, 1758)","","Small Pincertaill;спрудни разроки коњиц;sprudni razroki konjic;potočni regoč;;","1;2;3;5","10",""
"527","genus","Onychogomphus","","","","1;2;3;5","10",""
"526","species","Ophiogomphus cecilia","(Fourcroy, 1785)","","Green Snaketail;змиски разроки коњиц;zmiski razroki konjic;rogati regač;;","1;2;3;5","10",""
"525","genus","Ophiogomphus","","","","1;2;3;5","10",""
"524","species","Gomphus flavipes","Selys, 1840","","Western Clubtail;жутоноги разроки коњиц;žutonogi razroki konjic;;;","1;2;3;5","10",""
"523","species","Gomphus vulgatissimus","(Linnaeus, 1758)","","Common Clubtail;обичан разроки коњиц;običan razroki konjic;crni regoč;;","1;2;3;5","10",""
"522","genus","Gomphus","","","","1;2;3;5","10",""
"521","family","Gomphidae","","","","1;2;3;5","10",""
"520","species","Caliaeschna microstigma","(Schneider, 1845)","","Eastern Spectre;приморски племић;primorski plemić;konavoski knez;;","1;2;3;5","10",""
"519","genus","Caliaeschna","","","","1;2;3;5","10",""
"518","species","Brachytron pratense","(Müller, 1764)","","Hairy Hawkers;пролећни кнежевић;prolećni knežević;proljetni kraljević;;","1;2;3;5","10",""
"517","genus","Brachytron","","","","1;2;3;5","10",""
"516","species","Anax ephippiger","(Burmeister, 1839)","","Vagrant Emperor;лутајучћи царевић;lutajući carevič;;;","1;2;5","10",""
"515","species","Anax parthenope","(Selys, 1839)","","Lesser Emperor;мали царевић;mali carević;mali car;;","1;2;3;5","10",""
"514","species","Anax imperator","Leach, 1815","","Blue Emperor;велики царевић;veliki carević;veliki car;;","1;2;3;5","10",""
"513","genus","Anax","","","","1;2;3;5","10",""
"512","species","Aeshna juncea","(Linnaeus, 1758)","","Moorland Hawker;барски краљевић;barski kraljević;;planinski kralj;","1;2;3;5","10",""
"511","species","Aeshna viridis","Eversmann, 1836","","Green Hawker;зелени краљевић;zeleni kraljević;zeleni kralj;;","1;2;3;5","10",""
