Kingdom,Subkingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,"Species Complex",Subspecies,ID,Author,"Taxon data is restricted","Taxon is allochthonous","Taxon is invasive","(old) FaunaEuropea ID","FaunaEuropea ID",Stages,"Conservation Legislations","Other Conservation Documents","Red Lists","Uses Atlas Codes","Native Name - Bosanski","Native Name - English","Native Name - Croatian","Native Name - Montenegrin","Native Name - Serbian (Cyrillic)","Native Name - Serbian (Latin)","Description - Bosanski","Description - English","Description - Croatian","Description - Montenegrin","Description - Serbian (Cyrillic)","Description - Serbian (Latin)"
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes trogii",,,12255,Berk.,No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes suaveolens",,,12254,"(L.) Fr.",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes pubescens",,,12253,"(Schumach.) Pilat",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes ochracea",,,12252,"(Pers.) Gilb. & Ryvarden",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes hirsuta",,,12251,"(Wulfen) Pilat",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,"Trametes gibbosa",,,12250,"(Pers.) Fr.",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Polyporales,,,,Polyporaceae,,,,Trametes,,,,12249,,No,No,No,,,,,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Evanioidea,Evaniidae,,,,Prosevania,"Prosevania fuscipes",,,12248,"(Illiger, 1807)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Apocrita,,Evanioidea,Evaniidae,,,,Prosevania,,,,12247,"Kieffer, 1911",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius histrio",,,12246,"Latreille, 1812",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
